YEAR,MONTH,SUPPLIER,ITEM CODE,ITEM DESCRIPTION,ITEM TYPE,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES,TOTAL SALES,LOG_TOTAL_SALES,TRANSFER_RATIO
2020,1,DEUTSCH FAMILY WINE & SPIRITS,89333,YELLOW TAIL MOSCATO - 1.5L,WINE,17.76,24.0,31.0,48.760000000000005,3.907211448430924,1.3326226012793176
2020,1,YOUNG WON TRADING INC,89351,SHO CHIKU BAI NIGORI SAKE - 750ML,WINE,0.8,1.0,2.0,2.8,1.33500106673234,1.1111111111111112
2020,1,E & J GALLO WINERY,89374,APOTHIC CAL DARK - 750ML,WINE,26.51,19.0,23.0,49.510000000000005,3.9221713364799613,0.7270083605961468
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",89384,CHAPPELLET CERVANTES MNT CUVEE - 750ML,WINE,0.0,0.0,1.0,1.0,0.6931471805599453,1.0
2020,1,VERMONT HARD CIDER COMPANY LLC,89460,WOODCHUCK GRANNY SMITH CIDER 4/6NR - 355ML,BEER,1.0,1.0,57.0,58.0,4.07753744390572,1.0
2020,1,MOET HENNESSY USA,89473,MOET & CHANDON IMPERIAL ROSE - 187ML,WINE,0.0,0.0,4.0,4.0,1.6094379124341003,1.0
2020,1,RELIABLE CHURCHILL LLLP,89489,PETER LEHMAN PORTRAIT SHZ,WINE,0.0,1.0,0.0,0.0,0.0,2.0
2020,1,E & J GALLO WINERY,89494,LIVINGSTON CELLARS CHARD - 1.5L,WINE,10.79,11.0,12.0,22.79,3.1692653243148663,1.0178117048346056
2020,1,E & J GALLO WINERY,89504,WYCLIFF BRUT ROSE - 750ML,WINE,3.68,9.0,10.0,13.68,2.6864860231863696,2.1367521367521367
2020,1,THE WINE GROUP,89516,LEJON DRY VERMOUTH - 750ML,WINE,2.54,1.0,0.0,2.54,1.264126727145683,0.5649717514124294
2020,1,THE WINE GROUP,89524,LEJON SWEET VERMOUTH - 750ML,WINE,2.77,2.0,2.0,4.77,1.7526720805200082,0.7957559681697612
2020,1,CONSTELLATION BRANDS,89559,ARBOR MIST EXOTIC FRUIT WH/ZIN - 750ML,WINE,0.0,0.0,19.0,19.0,2.995732273553991,1.0
2020,1,CONSTELLATION BRANDS,89567,ARBOR MIST PEACH CHARD - 750ML,WINE,0.0,0.0,10.0,10.0,2.3978952727983707,1.0
2020,1,THE WINE GROUP,89575,TRIBUNO DRY VERMOUTH - 1L,WINE,7.44,4.0,1.0,8.440000000000001,2.2449559801574095,0.5924170616113743
2020,1,THE WINE GROUP,89583,TRIBUNO SWEET VERMOUTH - 1L,WINE,15.26,6.0,1.0,16.259999999999998,2.848391685655282,0.4305043050430505
2020,1,E & J GALLO WINERY,89591,PETER VELLA DELICIOUS RED BIB - 5L,WINE,33.0,27.0,36.0,69.0,4.248495242049359,0.8235294117647058
2020,1,E & J GALLO WINERY,89648,GALLO SWEET VERMOUTH - 750ML,WINE,5.76,4.0,5.0,10.76,2.464703942470481,0.7396449704142012
2020,1,E & J GALLO WINERY,89656,GALLO EXTRA DRY VERMOUTH - 750ML,WINE,2.29,1.0,5.0,7.29,2.1150499691472033,0.60790273556231
2020,1,E & J GALLO WINERY,89680,SOUVERAIN CAB - 750ML,WINE,5.0,10.0,53.0,58.0,4.07753744390572,1.8333333333333333
